entno,corpname,code,crno
00349097,케이티스카이라이프,053210,1101112149436
00308896,셀피글로벌,068940,1701110141812
00585219,세원이앤씨,091090,1101113489609
00363510,소니드,060230,1101111833486
00671376,티웨이항공,091810,1101112782046
00364254,알티캐스트,085810,1101111643736
01109690,도부마스크,227420,1101113623348
00393469,녹원씨엔아이,065560,1101110529747
01365384,이성씨엔아이,379390,1801111059509
00403793,바이브컴퍼니,301300,1101112021501
00409140,이원컴포텍,088290,1613110004067
00413417,우리손에프앤지,073560,2112110005321
00483735,해성옵틱스,076610,1348110069163
00516246,알에프세미,096610,1601110088660
00525679,차바이오텍,085660,1345110065662
00344287,HD현대인프라코어,042670,1201110234469
00296078,APS,054620,1101111315286
01118643,로보쓰리에이아이앤로보틱스,238500,1101112858483
00624518,다산솔루에타,154040,1351110065750
00624378,마이크로투나노,424980,1101112059031
00148610,한화투자증권,003530,1101110003155
